1732669123.519,25390,Python,22.8
1732669123.519,637,Google Chrome,20.0
1732669123.519,6121,com.apple.Virtualization.VirtualMachine,14.6
1732669123.519,994,Google Chrome Helper (GPU),10.6
1732669123.519,25369,Google Chrome Helper (Renderer),9.4
1732669123.519,996,Google Chrome Helper,1.3
1732669123.519,36903,Google Chrome Helper (Renderer),1.1
1732669123.519,41773,Code Helper,1.1
1732669123.519,24132,Code Helper (Renderer),0.9
1732669125.683,6121,com.apple.Virtualization.VirtualMachine,167.3
1732669125.683,25390,Python,21.8
1732669125.683,2986,DisplayLinkUserAgent,2.0
1732669125.683,672,iTerm2,1.4
1732669125.683,994,Google Chrome Helper (GPU),1.4
1732669125.683,41773,Code Helper,1.3
1732669125.683,41739,Code Helper,0.8
1732669125.683,637,Google Chrome,0.4
1732669125.683,24132,Code Helper (Renderer),0.4
1732669125.683,646,Microsoft Word,0.3
1732669129.865,25390,Python,23.4
1732669129.865,6121,com.apple.Virtualization.VirtualMachine,15.4
1732669129.865,672,iTerm2,9.1
1732669129.865,2986,DisplayLinkUserAgent,2.3
1732669129.865,41738,Code Helper (GPU),1.7
1732669129.865,646,Microsoft Word,1.3
1732669129.865,994,Google Chrome Helper (GPU),1.2
1732669129.865,41816,Code Helper,0.3
1732669129.865,58057,Google Chrome Helper (Renderer),0.3
1732669129.865,25369,Google Chrome Helper (Renderer),0.2
1732669138.046,2986,DisplayLinkUserAgent,28.9
1732669138.046,994,Google Chrome Helper (GPU),18.6
1732669138.046,6121,com.apple.Virtualization.VirtualMachine,17.3
1732669138.046,25369,Google Chrome Helper (Renderer),14.1
1732669138.046,25390,Python,13.9
1732669138.046,637,Google Chrome,10.6
1732669138.046,6147,Docker Desktop Helper (GPU),9.5
1732669138.046,41816,Code Helper,3.8
1732669138.046,684,AlDente,3.0
1732669138.046,25425,mdworker_shared,2.8
1732669140.219,6121,com.apple.Virtualization.VirtualMachine,81.1
1732669140.219,25390,Python,22.5
1732669140.219,672,iTerm2,4.3
1732669140.219,637,Google Chrome,2.6
1732669140.219,25369,Google Chrome Helper (Renderer),2.3
1732669140.219,2986,DisplayLinkUserAgent,1.2
1732669140.219,41773,Code Helper,1.0
1732669140.219,6095,com.docker.backend,0.8
1732669140.219,646,Microsoft Word,0.6
1732669140.219,41738,Code Helper (GPU),0.6
1732669142.394,25390,Python,22.5
1732669142.394,637,Google Chrome,10.5
1732669142.394,2986,DisplayLinkUserAgent,8.6
1732669142.394,6121,com.apple.Virtualization.VirtualMachine,8.3
1732669142.394,25369,Google Chrome Helper (Renderer),2.3
1732669142.394,646,Microsoft Word,1.3
1732669142.394,994,Google Chrome Helper (GPU),1.0
1732669142.394,41773,Code Helper,1.0
1732669142.394,626,trustd,0.7
1732669142.394,41739,Code Helper,0.7
1732669144.573,6121,com.apple.Virtualization.VirtualMachine,40.0
1732669144.573,25390,Python,23.5
1732669144.573,637,Google Chrome,2.9
1732669144.573,673,sharingd,1.5
1732669144.573,41773,Code Helper,1.0
1732669144.573,41739,Code Helper,0.9
1732669144.573,646,Microsoft Word,0.8
1732669144.573,996,Google Chrome Helper,0.8
1732669144.573,2986,DisplayLinkUserAgent,0.8
1732669144.573,6095,com.docker.backend,0.6
1732669148.742,56803,Google Chrome Helper (Renderer),99.1
1732669148.742,6121,com.apple.Virtualization.VirtualMachine,28.4
1732669148.742,25390,Python,16.9
1732669148.742,996,Google Chrome Helper,3.2
1732669148.742,637,Google Chrome,1.2
1732669148.742,53122,Google Chrome Helper (Renderer),0.9
1732669148.742,17022,Google Chrome Helper (Renderer),0.7
1732669148.742,646,Microsoft Word,0.5
1732669148.742,3215,Google Chrome Helper (Renderer),0.5
1732669148.742,6147,Docker Desktop Helper (GPU),0.5
1732669181.043,25390,Python,24.7
1732669181.043,6121,com.apple.Virtualization.VirtualMachine,12.5
1732669181.043,646,Microsoft Word,0.6
1732669181.043,6113,Docker Desktop,0.5
1732669181.043,2986,DisplayLinkUserAgent,0.4
1732669181.043,44337,Google Chrome Helper (Renderer),0.3
1732669181.043,643,Dooray Messenger,0.2
1732669181.043,996,Google Chrome Helper,0.2
1732669181.043,6095,com.docker.backend,0.2
1732669181.043,24148,Code Helper,0.2
1732669217.368,25390,Python,22.2
1732669217.368,6121,com.apple.Virtualization.VirtualMachine,18.3
1732669217.368,672,iTerm2,7.0
1732669217.368,13451,screencaptureui,5.6
1732669217.368,17204,KakaoTalk,4.9
1732669217.368,637,Google Chrome,4.8
1732669217.368,994,Google Chrome Helper (GPU),1.2
1732669217.368,29104,Google Chrome Helper (Renderer),1.2
1732669217.368,646,Microsoft Word,0.7
1732669217.368,2986,DisplayLinkUserAgent,0.4
1732669219.527,17204,KakaoTalk,60.8
1732669219.527,25390,Python,16.2
1732669219.527,6121,com.apple.Virtualization.VirtualMachine,11.2
1732669219.527,18256,tccd,7.2
1732669219.527,626,trustd,2.7
1732669219.527,996,Google Chrome Helper,1.7
1732669219.527,13451,screencaptureui,1.7
1732669219.527,623,usernoted,1.2
1732669219.527,637,Google Chrome,1.0
1732669219.527,36903,Google Chrome Helper (Renderer),0.8
1732669221.701,25390,Python,21.0
1732669221.701,6121,com.apple.Virtualization.VirtualMachine,8.5
1732669221.701,672,iTerm2,1.8
1732669221.701,637,Google Chrome,1.5
1732669221.701,646,Microsoft Word,1.3
1732669221.701,41773,Code Helper,1.0
1732669221.701,41739,Code Helper,0.8
1732669221.701,996,Google Chrome Helper,0.6
1732669221.701,44337,Google Chrome Helper (Renderer),0.5
1732669221.701,2986,DisplayLinkUserAgent,0.4
1732669268.062,2986,DisplayLinkUserAgent,31.8
1732669268.062,6121,com.apple.Virtualization.VirtualMachine,24.8
1732669268.062,25390,Python,22.1
1732669268.062,41734,Electron,13.6
1732669268.062,637,Google Chrome,12.2
1732669268.062,41738,Code Helper (GPU),4.2
1732669268.062,24132,Code Helper (Renderer),3.3
1732669268.062,684,AlDente,3.1
1732669268.062,3215,Google Chrome Helper (Renderer),0.9
1732669268.062,646,Microsoft Word,0.7
1732669270.205,6121,com.apple.Virtualization.VirtualMachine,122.9
1732669270.205,25489,com.apple.mlhost.TelemetryWorker,21.3
1732669270.205,25390,Python,15.7
1732669270.205,2986,DisplayLinkUserAgent,6.5
1732669270.205,11525,BiomeAgent,4.6
1732669270.205,672,iTerm2,2.9
1732669270.205,24132,Code Helper (Renderer),2.5
1732669270.205,6095,com.docker.backend,2.4
1732669270.205,41734,Electron,2.2
1732669270.205,588,cfprefsd,1.2
1732669272.368,6121,com.apple.Virtualization.VirtualMachine,120.8
1732669272.368,25390,Python,18.9
1732669272.368,672,iTerm2,10.4
1732669272.368,41739,Code Helper,1.5
1732669272.368,41773,Code Helper,1.2
1732669272.368,646,Microsoft Word,0.7
1732669272.368,6095,com.docker.backend,0.7
1732669272.368,2986,DisplayLinkUserAgent,0.4
1732669272.368,41816,Code Helper,0.3
1732669272.368,678,fileproviderd,0.2
1732669280.581,6121,com.apple.Virtualization.VirtualMachine,22.9
1732669280.581,25390,Python,22.6
1732669280.581,25225,axassetsd,16.7
1732669280.581,8785,Google Chrome Helper (Renderer),8.9
1732669280.581,637,Google Chrome,8.2
1732669280.581,996,Google Chrome Helper,3.8
1732669280.581,25077,Dooray Messenger Helper (Renderer),2.7
1732669280.581,44337,Google Chrome Helper (Renderer),2.7
1732669280.581,672,iTerm2,2.6
1732669280.581,53048,Google Chrome Helper (Renderer),1.8
1732669341.025,25390,Python,23.4
1732669341.025,6121,com.apple.Virtualization.VirtualMachine,17.6
1732669341.025,637,Google Chrome,1.3
1732669341.025,41738,Code Helper (GPU),1.1
1732669341.025,2986,DisplayLinkUserAgent,0.8
1732669341.025,646,Microsoft Word,0.7
1732669341.025,6113,Docker Desktop,0.6
1732669341.025,996,Google Chrome Helper,0.5
1732669341.025,41816,Code Helper,0.5
1732669341.025,6095,com.docker.backend,0.3
1732669473.790,25390,Python,20.9
1732669473.790,6121,com.apple.Virtualization.VirtualMachine,12.8
1732669473.790,622,rapportd,8.4
1732669473.790,672,iTerm2,8.1
1732669473.790,673,sharingd,5.3
1732669473.790,646,Microsoft Word,1.3
1732669473.790,625,secd,1.1
1732669473.790,41773,Code Helper,1.0
1732669473.790,2986,DisplayLinkUserAgent,0.8
1732669473.790,41739,Code Helper,0.8
1732669510.118,6121,com.apple.Virtualization.VirtualMachine,51.7
1732669510.118,25390,Python,19.7
1732669510.118,672,iTerm2,3.2
1732669510.118,41738,Code Helper (GPU),2.2
1732669510.118,6095,com.docker.backend,1.1
1732669510.118,646,Microsoft Word,0.7
1732669510.118,58057,Google Chrome Helper (Renderer),0.7
1732669510.118,673,sharingd,0.4
1732669510.118,2986,DisplayLinkUserAgent,0.4
1732669510.118,43120,ControlCenter,0.4
1732669526.362,6121,com.apple.Virtualization.VirtualMachine,30.5
1732669526.362,25390,Python,20.3
1732669526.362,672,iTerm2,8.9
1732669526.362,646,Microsoft Word,1.1
1732669526.362,41773,Code Helper,1.0
1732669526.362,41739,Code Helper,0.9
1732669526.362,41738,Code Helper (GPU),0.7
1732669526.362,41816,Code Helper,0.5
1732669526.362,2986,DisplayLinkUserAgent,0.4
1732669526.362,622,rapportd,0.3
1732669542.637,25077,Dooray Messenger Helper (Renderer),42.3
1732669542.637,2986,DisplayLinkUserAgent,40.6
1732669542.637,6121,com.apple.Virtualization.VirtualMachine,25.2
1732669542.637,25390,Python,21.3
1732669542.637,1033,Dooray Messenger Helper (GPU),18.9
1732669542.637,643,Dooray Messenger,15.9
1732669542.637,1035,Dooray Messenger Helper,3.7
1732669542.637,727,Dock,2.3
1732669542.637,672,iTerm2,2.2
1732669542.637,996,Google Chrome Helper,2.0
1732669544.806,2986,DisplayLinkUserAgent,28.8
1732669544.806,25390,Python,21.8
1732669544.806,25077,Dooray Messenger Helper (Renderer),20.3
1732669544.806,1033,Dooray Messenger Helper (GPU),13.7
1732669544.806,6121,com.apple.Virtualization.VirtualMachine,10.8
1732669544.806,643,Dooray Messenger,7.9
1732669544.806,672,iTerm2,6.5
1732669544.806,996,Google Chrome Helper,0.9
1732669544.806,41773,Code Helper,0.9
1732669544.806,637,Google Chrome,0.8
1732669546.973,25390,Python,21.1
1732669546.973,6121,com.apple.Virtualization.VirtualMachine,16.8
1732669546.973,25077,Dooray Messenger Helper (Renderer),5.8
1732669546.973,1033,Dooray Messenger Helper (GPU),4.6
1732669546.973,2986,DisplayLinkUserAgent,2.0
1732669546.973,646,Microsoft Word,1.5
1732669546.973,6095,com.docker.backend,1.4
1732669546.973,41773,Code Helper,1.3
1732669546.973,41738,Code Helper (GPU),0.9
1732669546.973,41739,Code Helper,0.9
1732669571.253,25390,Python,22.1
1732669571.253,6121,com.apple.Virtualization.VirtualMachine,14.9
1732669571.253,41773,Code Helper,7.4
1732669571.253,646,Microsoft Word,1.8
1732669571.253,41739,Code Helper,1.0
1732669571.253,2986,DisplayLinkUserAgent,0.8
1732669571.253,41738,Code Helper (GPU),0.7
1732669571.253,53751,Google Chrome Helper (Renderer),0.6
1732669571.253,996,Google Chrome Helper,0.5
1732669571.253,24132,Code Helper (Renderer),0.5
1732669599.547,25390,Python,22.8
1732669599.547,6121,com.apple.Virtualization.VirtualMachine,14.7
1732669599.547,637,Google Chrome,9.3
1732669599.547,58058,Google Chrome Helper (Renderer),7.3
1732669599.547,996,Google Chrome Helper,4.7
1732669599.547,1033,Dooray Messenger Helper (GPU),4.6
1732669599.547,25077,Dooray Messenger Helper (Renderer),4.0
1732669599.547,2986,DisplayLinkUserAgent,3.1
1732669599.547,53048,Google Chrome Helper (Renderer),3.0
1732669599.547,3366,Google Chrome Helper (Renderer),1.4
1732669601.713,6121,com.apple.Virtualization.VirtualMachine,47.1
1732669601.713,25390,Python,21.5
1732669601.713,6095,com.docker.backend,2.0
1732669601.713,673,sharingd,1.4
1732669601.713,41773,Code Helper,1.2
1732669601.713,41739,Code Helper,0.9
1732669601.713,646,Microsoft Word,0.7
1732669601.713,6091,com.docker.backend,0.6
1732669601.713,2986,DisplayLinkUserAgent,0.4
1732669601.713,3215,Google Chrome Helper (Renderer),0.4
1732669629.982,6121,com.apple.Virtualization.VirtualMachine,97.3
1732669629.982,25390,Python,19.1
1732669629.982,684,AlDente,3.2
1732669629.982,25077,Dooray Messenger Helper (Renderer),3.0
1732669629.982,1033,Dooray Messenger Helper (GPU),2.4
1732669629.982,637,Google Chrome,1.6
1732669629.982,41773,Code Helper,1.2
1732669629.982,996,Google Chrome Helper,1.1
1732669629.982,41739,Code Helper,1.0
1732669629.982,6095,com.docker.backend,0.9
1732669646.208,6121,com.apple.Virtualization.VirtualMachine,56.2
1732669646.208,2986,DisplayLinkUserAgent,27.5
1732669646.208,25390,Python,15.9
1732669646.208,41734,Electron,14.7
1732669646.208,24132,Code Helper (Renderer),12.6
1732669646.208,41738,Code Helper (GPU),5.4
1732669646.208,646,Microsoft Word,0.7
1732669646.208,53751,Google Chrome Helper (Renderer),0.7
1732669646.208,67228,Clipy,0.6
1732669646.208,6095,com.docker.backend,0.5
1732669648.384,25390,Python,23.6
1732669648.384,2986,DisplayLinkUserAgent,12.4
1732669648.384,25077,Dooray Messenger Helper (Renderer),12.4
1732669648.384,6121,com.apple.Virtualization.VirtualMachine,10.9
1732669648.384,41738,Code Helper (GPU),6.8
